,Artist,Song,uri,Acousticness,Danceability,Liveness,Loudness,Speechiness
0,Mac DeMarco,Another One,spotify:track:3pXAa69soxZ98bQ1gr18HO,0.821,0.694,0.106,0.7390217391304348,0.0276
1,alt-J,Breezeblocks,spotify:track:3n69hLUdIsSa1WlRmjMZlW,0.096,0.616,0.205,0.8212771739130436,0.0344
2,Francesco De Gregori,Rimmel,spotify:track:515XcapFOMtOOiGU31UqNp,0.62,0.5,0.106,0.624891304347826,0.0544
3,Vinicio Capossela,Marajà - 2018 Remaster,spotify:track:70EXIyETxgloAlVkRbO2H9,0.172,0.486,0.059,0.8442391304347827,0.0913
4,The Books,The Lemon of Pink I,spotify:track:6WkwB5tjvgw8zjdKSOfl0S,0.887,0.626,0.178,0.6609782608695652,0.0529
5,Derrick Harriott,The Loser,spotify:track:3AGEHHqBOnAmQiJxxbasJu,0.194,0.725,0.091,0.8528804347826088,0.0481
6,Nouvelle Vague,Making Plans for Nigel,spotify:track:7gGyCiJ8ddyfUbrdGUIgjN,0.36,0.735,0.118,0.6829076086956521,0.0333
7,Raury,All We Need,spotify:track:45tORLTHGyzygZNVnAhYnf,0.397,0.459,0.122,0.7795923913043479,0.0341
8,Metronomy,The Bay,spotify:track:2akjLHnHjDGsgqxuf48VYs,0.587,0.803,0.0723,0.8230706521739131,0.0387
9,One Way,Don't Fight The Feeling,spotify:track:2YTJVQTH4Hxe5GSTbX3Atg,0.17,0.966,0.0442,0.6362771739130434,0.171
10,Karen O,Lux Prima,spotify:track:0A2nyIqL9VGELypstIeNU2,0.728,0.256,0.149,0.7566304347826087,0.0305
11,J.E. Sunde,I Will Smile When I Think of You,spotify:track:5MAfnOpcBJQFxLlsurJ4fI,0.908,0.573,0.128,0.7561141304347827,0.0931
12,Eels,If You See Natalie,spotify:track:0Wt87HXlWlNrpUUZBh2peq,0.842,0.49,0.0988,0.6416576086956521,0.0346
13,Madness,Our House,spotify:track:1EXrFPfVNVsyb32yapebbM,0.0884,0.589,0.0559,0.8545652173913044,0.0401
14,SLACKCiRCUS,Heyyeyaaeyaaaeyaeyaa (Fabulous Secret Powers),spotify:track:0trTpNYmHAK3EihaZBd2h6,0.145,0.666,0.0567,0.7433152173913044,0.155
15,SLACKCiRCUS,Fabulous Secret Powers,spotify:track:0vWlBi56l3M4t34sNbFLVL,0.459,0.612,0.105,0.7138858695652174,0.29
16,Glass Animals,Space Ghost Coast To Coast (with Bree Runway),spotify:track:4mjV2VrBj1vAOV8dFlXs7i,0.0481,0.828,0.107,0.7683967391304349,0.0811
17,Iosonouncane,Il corpo del reato,spotify:track:3ggHg86KSSKbqdMUjmsVqk,0.344,0.672,0.111,0.8355706521739131,0.178
18,Mercanti di Liquore,Apecar,spotify:track:4O9rmx1qPDho7Wt69euley,0.271,0.614,0.0558,0.773858695652174,0.0358
19,IDLES,Damaged Goods,spotify:track:5PRU610vVE9hHvPqfH3qcX,5.63e-05,0.472,0.818,0.8529891304347826,0.0552
20,Tre Allegri Ragazzi Morti,Come mi guardi tu,spotify:track:6tQqL3oM3w4zPnJJD2gxg8,0.806,0.661,0.16,0.8027445652173913,0.123
21,Litfiba,Lacio drom (Buon Viaggio),spotify:track:1w9gFs0X4XBWXVBgkb01P8,0.465,0.646,0.0857,0.7184510869565217,0.03
22,John Prine,Long Monday,spotify:track:5mQsvob7sHv2vRhRkTXOvl,0.754,0.552,0.102,0.6702717391304348,0.0285
23,La Crus,Come ogni volta,spotify:track:1BnQRSpHM64apEiSRxTSpp,0.205,0.567,0.0638,0.7833967391304348,0.034
24,The Jackson 5,I Want You Back,spotify:track:5LxvwujISqiB8vpRYv887S,0.305,0.469,0.37,0.6511413043478261,0.0571
25,Metallica,Nothing Else Matters,spotify:track:0nLiqZ6A27jJri2VCalIUs,0.0458,0.553,0.075,0.7147554347826087,0.0263
26,⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ,ੂ࿃ूੂළඕั✧✧ı̴̴̡ ̡̡͡|̲̲̲͡ ̲̲̲͡͡π̲̲͡͡ ɵੂ≢࿃ूੂ೧ູఠీੂ ඊູཀ ꐑ(ʅ͡͡͡͡͡͡͡͡͡͡͡(ƟӨ)ʃ͡͡͡͡͡͡͡͡͡͡,spotify:track:4BGGy5uWeAl7SfAa28Hacv,0.185,0.737,0.0766,0.7047282608695652,0.0464
27,Donnie Trumpet & The Social Experiment,Familiar,spotify:track:6byH2KwTyfq76lucjvwX2I,0.28,0.804,0.0527,0.7598097826086957,0.255
28,Kevin Morby,Harlem River,spotify:track:0cDQyfkR7kYIBITKccaDmN,0.261,0.607,0.0953,0.7411141304347826,0.0297
29,Fabrizio De André,Ho visto Nina volare,spotify:track:0pwljL7CqXfTjCitfEH4Ez,0.898,0.769,0.0953,0.5870108695652173,0.0616
30,Binker and Moses,Fete by the River,spotify:track:5LN40meLh8TANltH8XwDFP,0.452,0.595,0.115,0.3856521739130435,0.033
31,VIC MENSA,OMG,spotify:track:0WjzD1b6BSkRwmjsx3Iedk,0.0024,0.547,0.127,0.8689945652173914,0.179
32,Deniro Farrar,Duality,spotify:track:4jsyGODRcqtDOUqKxOThGr,0.503,0.841,0.0884,0.6790760869565217,0.0957
33,Aminé,Becky,spotify:track:4PDfwhqOmkkocOHg4Rh4Mq,0.0379,0.579,0.114,0.8935597826086957,0.0402
34,Francesco Guccini,Autogrill - Remastered 2007,spotify:track:0sQoGANsmD91sfWxENJba9,0.244,0.5,0.105,0.8218478260869566,0.0411
35,Damon Albarn,Out of Time,spotify:track:013dkXItCYy64OcHgtU6zg,0.722,0.351,0.792,0.7707065217391305,0.0365
36,CAN,Moonshake,spotify:track:4SeOSrVvAyr7Ebgzd666hM,0.0835,0.798,0.122,0.6437499999999999,0.0422
37,Ryuichi Sakamoto,Merry Christmas Mr. Lawrence,spotify:track:5VuwAhMCz9EMg3RHL1KUEr,0.949,0.493,0.112,0.5291304347826088,0.036
38,Yoko Takahashi,FLY ME TO THE MOON - 2020 Version,spotify:track:56dvEv8PIWFuc5vJQLPM0L,0.243,0.51,0.219,0.8675271739130436,0.0282
39,Blended Babies,"So Slow (feat. Anderson .Paak, King Chip)",spotify:track:6fYr27d1dxrs2tiYW3nOdN,0.602,0.837,0.298,0.7952989130434783,0.351
40,MOX,Mara (feat. Canova),spotify:track:3d3j04qt2JKaNVJwJRJBhY,0.463,0.583,0.306,0.8466847826086957,0.0255
41,Outkast,Hey Ya!,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,0.103,0.727,0.174,0.9581521739130435,0.0664
42,シートベルツ,Tank!,spotify:track:2VqRxxZFbC0uZaTJcZY36c,0.0348,0.539,0.485,0.834429347826087,0.124
43,The Band,The Last Waltz Suite: The Weight (feat. The Staples),spotify:track:3TKOJWYOMrp98OB19y1A0n,0.237,0.557,0.124,0.797608695652174,0.0566
44,Tyler Thomas,Back Again,spotify:track:2bqkvAPhj3O4Z7Gkv0RxZK,0.74,0.652,0.291,0.9072826086956522,0.155
45,Pusha T,Nosetalgia,spotify:track:7aK5rlTVxSgcqShPMI1TTH,0.0255,0.529,0.14,0.9127445652173913,0.326
46,Ducktails,Headbanging in the Mirror,spotify:track:7hsMYfF8XSUTrcRqcZOell,0.00656,0.576,0.0573,0.8452445652173913,0.0289
47,Eugenio Finardi,Extraterrestre,spotify:track:0GAcEsQhbFiXdKX27Zahgp,0.411,0.726,0.105,0.7005434782608696,0.0514
48,Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:5rfT032kGmLvbxZzfHlu5D,0.392,0.271,0.115,0.8803532608695652,0.0329
49,Unknown Mortal Orchestra,Everyone Acts Crazy Nowadays,spotify:track:6VPvz8SZWRFEoawyUTvQTt,0.473,0.816,0.178,0.8852989130434783,0.0828
50,Iosonouncane,cri,spotify:track:04Ogy0bcHp9pLFgYFdIe2K,0.439,0.23,0.277,0.6190760869565217,0.0358
51,Iosonouncane,niran,spotify:track:1uQ2lsCnHylc4BboAsv0Ex,0.000346,0.459,0.317,0.7726902173913044,0.0296
52,Iosonouncane,horizon,spotify:track:2tdAziEDF98hj5GPE5Qnko,0.808,0.11,0.0992,0.5734239130434783,0.0422
53,Iosonouncane,prison,spotify:track:1tsDbKLkr2mX8qMKzkles8,0.242,0.211,0.105,0.6914402173913042,0.0327
54,Iosonouncane,foule,spotify:track:2LGaybyyXFwAIUNp4MdFnH,0.283,0.394,0.13,0.6145923913043478,0.0337
55,Wild Child,"Hold On, Hold You",spotify:track:5NcdrSQ4GgT0eX9yNiVTiJ,0.989,0.321,0.34,0.7425,0.042
56,DL Incognito,Audio Coke,spotify:track:2bKmY1uObcvy8Akw2RHaPC,0.0163,0.794,0.0712,0.8779619565217391,0.378
57,Eartheater,Airborne Ashes,spotify:track:5HfgoFRnFuuHMM67rB9sdC,0.886,0.177,0.0892,0.7162771739130435,0.0382
58,Fred Bongusto,"Spaghetti, pollo, insalatina e una tazzina di caffè",spotify:track:0PUb2ayVE7D5c85MQEXkVU,0.814,0.627,0.837,0.744945652173913,0.166
59,Blood Orange,Desirée,spotify:track:0A6Ex80dxSp8JP545CR34i,0.446,0.422,0.373,0.828695652173913,0.176
60,The Internet,Roll (Burbank Funk),spotify:track:01bfHCsUTwydXCHP1VoLlI,0.185,0.784,0.106,0.7855163043478262,0.0962
61,Sango,Só Você (feat. Elhae & Esta),spotify:track:59pw2kljsaCp9HhJGQoleO,0.533,0.602,0.121,0.7278260869565217,0.0487
62,Opez,Adriatica,spotify:track:0Nt3KvakNjO2lKJzdzYR2Q,0.323,0.839,0.105,0.6346739130434783,0.0377
63,Bill Withers,"I Can't Write Left-Handed - Live at Carnegie Hall, New York, NY - October 1972",spotify:track:4u5caeri2MC9V32n9OBuZT,0.856,0.506,0.666,0.6347282608695651,0.0298
64,Marlene Kuntz,La Canzone Che Scrivo Per Te,spotify:track:6y2KY53j3cShdUYFoPwGAP,0.173,0.541,0.158,0.7396195652173913,0.0257
65,Ralph Castelli,Morning Sex,spotify:track:2fGRJzoiYJYAzlQAyBONMb,0.0473,0.81,0.082,0.7604619565217392,0.0437
66,Alberto Sordi,E Va' E Va',spotify:track:5yF7Yv8K5It9L2oMxafQY9,0.622,0.474,0.0703,0.560625,0.0593
67,Die Antwoord,Ugly Boy,spotify:track:0zSGK8ZpVuo0XdIY21Vyrh,0.0147,0.822,0.188,0.8739945652173914,0.182
68,CJ Fly,RUDEBWOY (feat. Joey Bada$$),spotify:track:6LNawo47rq69QlFp85qyLM,0.358,0.704,0.0832,0.8786141304347826,0.295
69,Pixies,Hey,spotify:track:0p5eZCY0R7uNCZS1YDtIYI,0.00105,0.59,0.316,0.6834510869565217,0.0318
70,The Beatles,Hey Jude - Remastered 2015,spotify:track:0aym2LBJBk9DAYuHHutrIl,0.0112,0.386,0.088,0.8103532608695653,0.0261
71,Foo Fighters,Everlong - Acoustic Version,spotify:track:3QmesrvdbPjwf7i40nht1D,0.909,0.643,0.106,0.7113858695652174,0.0349
72,John Cale,Paris 1919,spotify:track:5Zpy2HR2vYLjlTQVd81DLH,0.963,0.742,0.11,0.6465489130434783,0.0315
73,Formula 3,Eppur mi son scordato di te,spotify:track:4iEZrsGO1gjZxJlkcCHuh8,0.17,0.51,0.363,0.8311956521739131,0.107
74,Adriano Celentano,Sono Un Simpatico - Remastered,spotify:track:4rcM38pvqCN1lun0zsWntq,0.29,0.479,0.285,0.847554347826087,0.0292
75,CCCP – Fedeli Alla Linea,Mi Ami?,spotify:track:0cKKCkP4zw2CETcK3JSIkE,0.000402,0.419,0.143,0.8195652173913044,0.0758
76,Queen,Don't Stop Me Now - Remastered 2011,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,0.0475,0.559,0.776,0.8762228260869566,0.17
77,Queen,Bohemian Rhapsody - Remastered 2011,spotify:track:1AhDOtG9vPSOmsWgNW0BEY,0.271,0.414,0.3,0.7498097826086956,0.0499
78,Queen,Another One Bites The Dust - Remastered 2011,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,0.112,0.933,0.163,0.8437228260869566,0.161
79,Queen,Crazy Little Thing Called Love - Remastered 2011,spotify:track:6xdLJrVj4vIXwhuG8TMopk,0.713,0.599,0.349,0.8324456521739131,0.0421
80,Audioslave,Show Me How to Live,spotify:track:1Qdnvn4XlmZANCVy3XjrQo,0.000336,0.433,0.162,0.914483695652174,0.0483
81,Petra Magoni,Guarda Che Luna,spotify:track:6oPn5CmReWtzsBev2uE2k8,0.344,0.558,0.109,0.7366576086956521,0.0484
82,Fat Freddy's Drop,Blackbird,spotify:track:3NDDaDiROyJkgrvcxIpOqI,0.0396,0.72,0.505,0.8211413043478262,0.0363
83,The Shins,New Slang,spotify:track:1wAqhAF1dynDjMy7m5CSSE,0.605,0.669,0.0905,0.7058152173913043,0.0306
84,Foo Fighters,The Pretender,spotify:track:7x8dCjCr0x6x2lXKujYD34,0.000917,0.433,0.028,0.9098097826086957,0.0431
85,Johnny Cash,Ring of Fire,spotify:track:6YffUZJ2R06kyxyK6onezL,0.623,0.659,0.348,0.7970652173913044,0.0288
86,Johnny Cash,Hurt,spotify:track:28cnXtME493VX9NOw9cIUh,0.649,0.534,0.0948,0.8120923913043478,0.0267
87,The Alchemist,E. Coli (feat. Earl Sweatshirt),spotify:track:3GXSywNvYLAVUCtjMHkKDh,0.208,0.322,0.325,0.7824728260869566,0.129
88,Haley Heynderickx,Jo,spotify:track:6bI9qIBdEoB40nfuUy7u5F,0.8,0.537,0.0832,0.720679347826087,0.0357
89,Modena City Ramblers,Una Perfecta Excusa,spotify:track:6vO0YMEKmXMlZtGgdSwJyc,0.0103,0.825,0.447,0.8136141304347827,0.0558
90,Pavement,Range Life,spotify:track:6jR6FMCEoWGdEpFVRlMZM7,0.0405,0.557,0.102,0.7633423913043479,0.0295
91,Ibibio Sound Machine,Color in Your Cheeks,spotify:track:31IphwwZwN42INOI99xCqZ,0.407,0.62,0.115,0.6788858695652173,0.0942
92,Wilco,If I Ever Was a Child,spotify:track:1tZ5ctX3Q1P6QZJ1bR25sd,0.494,0.682,0.11,0.6985054347826086,0.04
93,Vinicio Capossela,Il paradiso dei calzini,spotify:track:6eu4Pm3v4WRIVnGi71Q5tW,0.823,0.449,0.196,0.7862500000000001,0.0327
94,Forever Golden,Parking Lot Pimpin',spotify:track:6uu1E0SqqBueSMvEYurgI1,0.0551,0.919,0.0929,0.7443478260869565,0.124
95,Radiohead,Creep,spotify:track:70LcF31zb1H0PyJoS1Sx1r,0.0097,0.515,0.129,0.7496195652173913,0.0372
96,EARTHGANG,Robots,spotify:track:62bvu8hO9tPS0DQ3WzYYwp,0.616,0.684,0.052,0.802092391304348,0.316
97,Ahmad Jamal Trio,I Love Music,spotify:track:4MIPpjKWw1lLVwS6tLhis1,0.972,0.314,0.109,0.603641304347826,0.0278
98,Wayvee,Empire (with LMC),spotify:track:2BVo7W60QcDAEv6BnlJEAh,0.0343,0.695,0.0797,0.7113043478260869,0.039
99,OverDoz.,Last Kiss,spotify:track:06vtpwj9hxOR9z0klMArnU,0.0695,0.851,0.0398,0.8979076086956522,0.0577
100,Nancy Sinatra,Bang Bang (My Baby Shot Me Down),spotify:track:4JLcAU2xY90qTkTSNM1lUa,0.982,0.433,0.111,0.5089673913043479,0.0537
101,The Zombies,Time of the Season,spotify:track:6im4Ks6SWUqwTGp7Cft1e7,0.134,0.536,0.287,0.8343206521739132,0.0365
102,Phil Collins,In The Air Tonight - 2015 Remastered,spotify:track:18AXbzPzBS8Y3AkgSxzJPb,0.551,0.446,0.0697,0.6406521739130434,0.0316
103,Modena City Ramblers,In Un Giorno Di Pioggia,spotify:track:3cJ3oQ1ndmD80TYfCxXZAl,0.489,0.367,0.12,0.749266304347826,0.0378
104,Rino Gaetano,"Tu, forse non essenzialmente tu",spotify:track:3zTbCPFEdFXRFwJBDT418E,0.761,0.46,0.076,0.6708152173913043,0.0333
105,Andy Hull and Robert McDowell,Intro Song (feat. Paul Dano),spotify:track:6XgiYc4t457eyu3ESb5CMI,0.859,0.218,0.115,0.6321467391304348,0.0456
106,Nils Frahm,Sweet Little Lie,spotify:track:6hzdgQYfSheOhxHjkYOJ8A,0.984,0.107,0.831,0.28929347826086954,0.0405
107,Orchestraccia,Sona orchestraccia sona,spotify:track:1bwA6koq8p7swjGBJ9T9EI,0.398,0.861,0.127,0.8691032608695652,0.0584
108,The Who,The Seeker - Edit,spotify:track:5orygsZ5Ga0jEOvftsXqw2,0.101,0.318,0.144,0.6981521739130435,0.0358
109,Neil Young,Stringman,spotify:track:1cFm3HN2QRIYJxkfg3MgLO,0.978,0.33,0.744,0.5708967391304348,0.0366
110,The Doors,Five To One,spotify:track:4IxCudQYUrgPu6qVrwnB5p,0.305,0.611,0.0502,0.7074184782608696,0.0494
111,Pinguini Tattici Nucleari,Jack il melo drammatico,spotify:track:4nS6gZvYp92IZOM4yvU60e,0.686,0.531,0.0665,0.8135054347826087,0.0612
112,Alice Cooper,No More Mr. Nice Guy,spotify:track:5D2eCwqbHcqOnfHOCM6TnV,0.0936,0.498,0.1,0.6939130434782609,0.0395
113,Cactus,Evil - Single Version,spotify:track:3eMlVhkJzPVdpyngg8Zop6,0.000551,0.25,0.335,0.8105163043478262,0.075
114,Anderson .Paak,The Dreamer,spotify:track:6PpYS7LSazpIJi641HR4YL,0.324,0.52,0.896,0.9065217391304349,0.26
115,Vasco Brondi,Le ragazze stanno bene,spotify:track:4LTJl1Om8ktx8vUIKcIIgx,0.56,0.331,0.0993,0.8066032608695652,0.0758
116,JAY-Z,The Story of O.J.,spotify:track:6JpN5w95em8SODPiM7W2PH,0.283,0.741,0.23,0.8613586956521739,0.415
117,Kevin Ayers,When Your Parents Go to Sleep - 2003 Remaster,spotify:track:5HUFcB9PHfVcvXF44u98SI,0.146,0.53,0.116,0.7832065217391305,0.0326
118,The Zen Circus,Il mondo come lo vorrei,spotify:track:1gXmQ8VKXGqSDH70xOnAYd,0.0267,0.512,0.135,0.8562771739130436,0.0335
119,Sole,bottle of humans,spotify:track:3hyydmtRGTps6X6PswAffh,0.00455,0.632,0.285,0.8187771739130436,0.317
120,Benny Sings,Big Brown Eyes,spotify:track:19ovZMFSIQvehxLmvrRbBS,0.0253,0.918,0.134,0.7966032608695653,0.0441
121,Beck,I Won't Be Long,spotify:track:4Ujg2UI7ifFfVlUHB90fne,0.00699,0.745,0.102,0.8866576086956522,0.0354
122,Rhymefest,Sister (feat. Mike Payne),spotify:track:2hnB6ht1mL2G3OMzJc8lwT,0.314,0.575,0.122,0.803288043478261,0.4
123,Sen Morimoto,People Watching,spotify:track:1z4DPOVwQxj2HSuXQYnoKO,0.619,0.655,0.0906,0.778804347826087,0.191
124,King Missile,Jesus was Way cool,spotify:track:0Tos24ah4Q1OSe1qBH9TBW,0.887,0.371,0.089,0.41361413043478257,0.0746
125,Snail Mail,Anytime,spotify:track:0qK6oUx3O0f1eTwj7hSWQm,0.919,0.536,0.0953,0.7519836956521739,0.0274
126,Margaret Glaspy,You're Smiling (But I Don't Believe You),spotify:track:5aeJ8bhmshuYdI15ySaMH4,0.981,0.494,0.132,0.6204891304347826,0.0419
127,Aaron Taylor,Lesson Learnt,spotify:track:7hXtZAHYedEOK3pGdWD6iQ,0.206,0.662,0.0646,0.8417391304347827,0.224
128,Glass Animals,Love Lockdown,spotify:track:0WYqT1IvPzmKNNzR8mgIQs,0.146,0.767,0.298,0.7470108695652173,0.0445
129,The Knack,My Sharona,spotify:track:1HOMkjp0nHMaTnfAkslCQj,0.0589,0.586,0.0318,0.7598641304347826,0.0363
130,atm,miami nights,spotify:track:6d5M1q7nhBOFeEcdTeNXM3,0.485,0.796,0.126,0.7902173913043479,0.108
131,A. Savage,Thawing Dawn,spotify:track:0c1fntFOKKm8EpLBh4PxFV,0.0488,0.447,0.0973,0.7570380434782609,0.0325
132,Samuele Bersani,Freak,spotify:track:5UG5jL5yK0AlWCMvVWuLv3,0.111,0.718,0.0739,0.8530163043478262,0.0407
133,Burial,Her Revolution,spotify:track:2MhDAsciLk9txdni5CL8iw,0.92,0.466,0.105,0.6290217391304348,0.0715
134,Management,Pornobisogno,spotify:track:5d5MiGqjeturdc0eK6Tcm5,0.0004,0.549,0.202,0.8919021739130435,0.107
135,The Avalanches,Since I Left You,spotify:track:2DgFCys3XMrWZDngu1CrRy,0.226,0.518,0.726,0.8219021739130435,0.0573
136,Yellow Days,A Little While,spotify:track:1ahzHj4rfljE8w4ZwpEjOM,0.182,0.577,0.205,0.8065489130434783,0.0332
137,Canova,Threesome,spotify:track:0MZZjiLosRy5x6ilN6nCoD,0.0409,0.529,0.076,0.9085869565217392,0.0701
138,Prozac+,Angelo,spotify:track:3eS91xkiHGSo8s4ruX6TAD,0.000369,0.426,0.267,0.8654619565217392,0.0332
139,Giorgio Canali,Mostri sotto il letto,spotify:track:0oL81DkgPu8UsAkYOJdXFo,0.000365,0.441,0.125,0.8138586956521741,0.0429
140,Ennio Morricone,Un sacco bello - Titoli coda,spotify:track:7L7a94iTFMn7IndnJ50rOk,0.553,0.678,0.143,0.6202989130434783,0.0502
141,Nobraino,Film muto,spotify:track:04BLeb6B5Pr9VangGoCXha,0.0358,0.579,0.1,0.7447554347826086,0.0289
142,The Rockets,Oh Well,spotify:track:1nsH8EJpdLt2ZgzuFpiyw5,0.232,0.589,0.0739,0.8260326086956522,0.0781
143,The Beta Band,Inner Meet Me,spotify:track:14v8jznoR89bjfgmVWvCrh,0.469,0.518,0.302,0.6974184782608696,0.174
144,Rejjie Snow,Cookie Chips,spotify:track:4rnj9LIIotxPIe9qih7tjb,0.45,0.458,0.114,0.8104347826086957,0.275
145,Anderson .Paak,The Dreamer (feat. Talib Kweli & Timan Family Choir),spotify:track:2sNhYJ2ggd9BadlTXU3Mah,0.324,0.52,0.896,0.9065217391304349,0.26
146,Calibro 35,L'appuntamento,spotify:track:3twK0FNabORIONYE2M72Vz,0.358,0.546,0.148,0.8039673913043479,0.0277
147,Bruno Mars,Leave The Door Open,spotify:track:7MAibcTli4IisCtbHKrGMh,0.182,0.586,0.0927,0.803179347826087,0.0324
148,Richie Woods,Wendy,spotify:track:3PL8DRk4DgUuftK9I5hi41,0.994,0.391,0.362,0.7176630434782608,0.0341
149,Gorillaz,Pac-Man (feat. ScHoolboy Q),spotify:track:26qAAE6mQZlS0GhqnWheU6,0.273,0.762,0.333,0.8713858695652175,0.0961
150,R.E.M.,Orange Crush - Remastered,spotify:track:7sNhXWrg9eW3qRqeuePaIC,0.000613,0.568,0.17,0.7355434782608695,0.04
151,Super Furry Animals,Golden Retriever,spotify:track:7JzlGmut2XLe3HHQPD56Wr,0.00424,0.521,0.106,0.8852989130434783,0.0349
152,Management,Auff!!,spotify:track:7EYSc6eKWVVuEKjbDO4QaO,0.0175,0.431,0.46,0.9204891304347826,0.119
153,Umeko Ando,Pekanpe Uk,spotify:track:6nAs88Lp4f49R1AoWTcASA,0.975,0.466,0.457,0.6175815217391304,0.0451
154,KMD,It Sounded Like a Roc!,spotify:track:0ppUhShr9HupLcI5ehTmU9,0.00203,0.783,0.327,0.8624184782608697,0.232
155,William Onyeabor,Fantastic Man,spotify:track:6lhyua0TZx9riFHAfliJlc,0.0019,0.701,0.061,0.7288586956521739,0.0578
156,Ikue Asazaki,OBOKURI,spotify:track:4tMhwWkSXB4fzgqoBhC5k0,0.98,0.389,0.271,0.595108695652174,0.0328
157,Vinicio Capossela,Pryntyl,spotify:track:4pDwCkKwRJ9jAfMzVuc3Bk,0.781,0.493,0.199,0.7662500000000001,0.0514
158,Feist,I'm Not Running Away,spotify:track:1hXE8acZ1m7QHArSUDcAYD,0.739,0.49,0.0847,0.8030706521739132,0.029
159,Yusef Lateef,Love Theme From Spartacus - Remastered,spotify:track:7yzM0pEseQUpb6BMViOPEA,0.635,0.522,0.114,0.6365489130434783,0.0286
160,Photay,Illusion Of Seclusion,spotify:track:6gqJJwkvzyXXj8SUEJgP4g,0.535,0.659,0.0617,0.8537228260869566,0.0577
161,Ska-P,Cannabis,spotify:track:3pKEYZcL428BwPWiP2udxz,0.131,0.574,0.104,0.8513315217391305,0.0517
162,Grinderman,No Pussy Blues,spotify:track:3hYm7ds6bY7jgyxGtXv9N8,0.00422,0.417,0.0657,0.886304347826087,0.0617
163,Tash Sultana,Maybe You've Changed,spotify:track:1RoqqERMzcfFX32Ke4NG7e,0.893,0.354,0.102,0.772554347826087,0.0418
164,Strawberry Alarm Clock,Incense And Peppermints,spotify:track:16iApoNZYaN6gbMtRRVV6B,0.033,0.484,0.0885,0.7174728260869565,0.0316
165,alt-J,In Cold Blood,spotify:track:3bmxsQVFi8k7qfM5ULU8Me,0.143,0.491,0.273,0.8709239130434783,0.0374
166,Bob Marley & The Wailers,Three Little Birds,spotify:track:6A9mKXlFRPMPem6ygQSt7z,0.0111,0.814,0.0476,0.7344565217391305,0.0588
167,Black Sabbath,War Pigs,spotify:track:0W35nxtHtFlseSojmygEsf,0.116,0.464,0.171,0.6929891304347826,0.0591
168,Angus & Julia Stone,Oakwood,spotify:track:4tkS7AV0aejVwi9Uc333yo,0.567,0.741,0.0935,0.7741304347826088,0.0275
169,Morgan,Altrove,spotify:track:2Ugm8eHiooM93bXopVPdSb,0.182,0.651,0.122,0.8520108695652174,0.0267
170,How To Dress Well,Cold Nites,spotify:track:70t7rPrAJdAuJQxK8N7TOX,0.77,0.598,0.14,0.7992934782608696,0.0316
171,Rare Bird,Sympathy,spotify:track:1Yz4f8rXtp24nC5ODB2hbf,0.822,0.595,0.637,0.5948913043478261,0.0411
172,Charlie Musselwhite,Christo Redemptor,spotify:track:2KmDMUum37jq4TFaHXD3JY,0.703,0.485,0.149,0.5964945652173913,0.0276
173,Devendra Banhart,Fancy Man,spotify:track:4qYVtcv1mOfMPTHfmrW7ZH,0.583,0.905,0.144,0.820054347826087,0.177
174,Verdena,Elefante,spotify:track:5Yrjz3POJJIm6dtU57q1jr,0.0106,0.296,0.646,0.8495923913043479,0.0657
175,The Zen Circus,Andate Tutti Affanculo,spotify:track:1qeafllxI3w3GNa2SLPW6r,0.672,0.638,0.0715,0.7752445652173914,0.0303
176,Asa-Chang & Junray,Senaka,spotify:track:7pCKCHUJan9NvoA1tx2GLc,0.24,0.716,0.0961,0.7373913043478261,0.031
177,Fabrizio De André,La Canzone Dell'Amore Perduto,spotify:track:7HqaGIzhPpHGTPnX8Cxbkt,0.889,0.246,0.164,0.736086956521739,0.0318
178,The Shivas,You Make Me Wanna Die,spotify:track:0b3FB8b2fXSDgHLGppFJUN,0.605,0.723,0.186,0.8987771739130436,0.0365
179,Imaginary Future,Feels Like We Only Go Backwards,spotify:track:0CSMtmcfcDJ00FxaHLuMQL,0.923,0.535,0.215,0.6032608695652174,0.0369
180,Theophilus London,Only You,spotify:track:2rDwETmcGw4ZqbuXvLQmDL,0.132,0.743,0.0921,0.885,0.0726
181,Alunni Del Sole,Concerto,spotify:track:2UZyNx1GA7NpplahMJPrah,0.398,0.421,0.357,0.6553532608695652,0.0306
182,Brooklyn Funk Essentials,I Got Cash,spotify:track:6T64Jcpgs8qZSi028uHDc5,0.0158,0.804,0.0737,0.8444565217391304,0.0517
183,Herrick & Hooley,Good Morning,spotify:track:1oKmBh6nN902GkUkTTtK4z,0.218,0.58,0.161,0.8376902173913044,0.127
184,Saba,Papaya,spotify:track:79YUO28pB2fGxsmigK3Sjv,0.235,0.746,0.108,0.8291032608695653,0.368
185,Moonchild,Show the Way,spotify:track:4y7R2VQNof7CYPFOVZ409D,0.742,0.622,0.317,0.7190760869565217,0.11
186,Mark Whalen,Happen Twice,spotify:track:3YB7EFZi3bqWB45rakTc73,0.555,0.836,0.254,0.7118478260869565,0.0467
